"","CD_REFNIS","TOTAL","Post code","Submunicipality code"
"233","24016",8527,"3370","24016A-II"
"234","24020",24677,"3294","24020D"
"235","24020",24677,"3290","24020E"
"236","24020",24677,"3293","24020C"
"237","24028",6263,"3450","24028A"
"238","24028",6263,"3454","24028B"
"239","24033",15425,"3150","24033A"
"240","24038",22723,"3020","24038B"
"241","24041",6797,"3320","24041A"
"242","24041",6797,"3321","24041C"
"243","24043",10158,"3221","24043C"
"244","24043",10158,"3220","24043B"
"245","24045",10080,"3040","24045C"
"246","24048",13196,"3140","24048A"
"247","24054",7970,"3472","24054D"
"248","24054",7970,"3471","24054C"
"249","24054",7970,"3470","24054A"
"250","24054",7970,"3473","24054E"
"251","24055",20920,"3071","24055B"
"252","24055",20920,"3070","24055A"
"253","24055",20920,"3078","24055D"
"254","24059",16284,"3401","24059C-I"
"255","24059",16284,"3404","24059K"
"256","24059",16284,"3400","24059D"
"257","24062",103009,"3010","24062C"
"258","24062",103009,"3012","24062-Y"
"259","24062",103009,"3001","24062-Z"
"260","24062",103009,"3000","24062A"
"261","24062",103009,"3018","24062-Y"
"262","24062",103009,"3000","24062-Z"
"263","24066",14911,"3212","24066C"
"264","24066",14911,"3210","24066A"
"265","24066",14911,"3211","24066B"
"266","24086",11545,"3054","24086B"
"267","24086",11545,"3053","24086D"
"268","24086",11545,"3052","24086C"
"269","24086",11545,"3050","24086A"
"270","24086",11545,"3051","24086E"
"271","24094",17499,"3118","24094B"
"272","24094",17499,"3111","24094C"
"273","24094",17499,"3110","24094A"
"274","24104",23101,"3080","24104A"
"275","24107",36282,"3300","24107A"
"276","24109",15338,"3120","24109A"
"277","24109",15338,"3128","24109B"
"278","24130",8668,"3440","24130A"
"279","24133",7317,"3350","24133G"
"280","24134",23705,"3272","24134D"
"281","24134",23705,"3270","24134-Z"
"282","24134",23705,"3271","24134B"
"283","24134",23705,"9","24134B"
"284","24135",11440,"3390","24135A"
"285","24135",11440,"3391","24135B"
"286","24137",5426,"3381","24137D"
"287","24137",5426,"3380","24137A"
"288","24137",5426,"3384","24137B"
"289","25005",7232,"1320","25005A"
"290","25014",40469,"1420","25014A"
"291","25014",40469,"1421","25014C"
"292","25014",40469,"1428","25014B"
"293","25015",10671,"1440","25015A"
"294","25018",11813,"1325","25018A"
"295","25023",10750,"1490","25023A"
"296","25031",15915,"1474","25031G"
"297","25031",15915,"1472","25031E"
"298","25031",15915,"1470","25031A"
"299","25031",15915,"1470","25031B"
"300","25031",15915,"1473","25031F"
"301","25031",15915,"1471","25031C"
"302","25031",15915,"1476","25031D"
"303","25037",14067,"1390","25037B"
"304","25043",5614,"1315","25043A"
"305","25044",7039,"1460","25044A"
"306","25044",7039,"1461","25044B"
"307","25048",14789,"1370","25048A"
"308","25050",7564,"1310","25050A"
"309","25068",8361,"1348","25068A"
"310","25068",8361,"1435","25068A"
"311","25072",29018,"1401","25072B"
"312","25072",29018,"1404","25072E"
"313","25072",29018,"1402","25072C"
"314","25072",29018,"1400","25072A"
"315","25084",9639,"1360","25084B"
"316","25091",23115,"1331","25091C"
"317","25091",23115,"1330","25091A"
"318","25091",23115,"1332","25091B"
"319","25105",28057,"1480","25105A"
"320","25107",11118,"1495","25107D"
"321","25110",30477,"1410","25110A"
"322","25112",35444,"1300","25112C"
"323","25112",35444,"1301","25112B"
"324","25112",35444,"1300","25112A"
"325","25117",7742,"1450","25117C"
"326","25118",3789,"1357","25118A"
"327","25119",14313,"1380","25119A"
"328","25120",9097,"1350","25120C"
"329","25121",31526,"1342","25121C"
"330","25121",31526,"1340","25121-Z"
"331","25121",31526,"1341","25121B"
"332","25121",31526,"1348","25121-Z"
